dataset_id,method,model,defect_type,precision,recall,f1
synth_easy,rule_based,xgb,leakage,1.0,0.0,0.0
synth_easy,rule_based,xgb,missing,0.75,1.0,0.8571428571428571
synth_easy,rule_based,xgb,label_noise,1.0,0.0,0.0
synth_easy,rule_based,xgb,near_duplicate,1.0,0.0,0.0
synth_easy,rule_based,xgb,class_imbalance,1.0,0.0,0.0
synth_easy,rule_based,xgb,format_inconsistency,1.0,1.0,1.0
synth_easy,agent_full,xgb,leakage,1.0,1.0,1.0
synth_easy,agent_full,xgb,missing,1.0,1.0,1.0
synth_easy,agent_full,xgb,label_noise,1.0,1.0,1.0
synth_easy,agent_full,xgb,near_duplicate,1.0,0.0,0.0
synth_easy,agent_full,xgb,class_imbalance,1.0,1.0,1.0
synth_easy,agent_full,xgb,format_inconsistency,1.0,0.0,0.0
synth_easy,agent_no_reviewer,xgb,leakage,1.0,1.0,1.0
synth_easy,agent_no_reviewer,xgb,missing,1.0,1.0,1.0
synth_easy,agent_no_reviewer,xgb,label_noise,1.0,1.0,1.0
synth_easy,agent_no_reviewer,xgb,near_duplicate,1.0,0.0,0.0
synth_easy,agent_no_reviewer,xgb,class_imbalance,1.0,1.0,1.0
synth_easy,agent_no_reviewer,xgb,format_inconsistency,1.0,0.0,0.0
synth_easy,agent_no_planner,xgb,leakage,1.0,1.0,1.0
synth_easy,agent_no_planner,xgb,missing,1.0,1.0,1.0
synth_easy,agent_no_planner,xgb,label_noise,1.0,1.0,1.0
synth_easy,agent_no_planner,xgb,near_duplicate,1.0,0.0,0.0
synth_easy,agent_no_planner,xgb,class_imbalance,1.0,1.0,1.0
synth_easy,agent_no_planner,xgb,format_inconsistency,1.0,0.0,0.0
synth_easy,agent_zero_shot,xgb,leakage,1.0,1.0,1.0
synth_easy,agent_zero_shot,xgb,missing,1.0,1.0,1.0
synth_easy,agent_zero_shot,xgb,label_noise,1.0,1.0,1.0
synth_easy,agent_zero_shot,xgb,near_duplicate,1.0,0.0,0.0
synth_easy,agent_zero_shot,xgb,class_imbalance,1.0,1.0,1.0
synth_easy,agent_zero_shot,xgb,format_inconsistency,1.0,0.0,0.0
synth_easy,agent_few_shot,xgb,leakage,1.0,1.0,1.0
synth_easy,agent_few_shot,xgb,missing,1.0,1.0,1.0
synth_easy,agent_few_shot,xgb,label_noise,1.0,1.0,1.0
synth_easy,agent_few_shot,xgb,near_duplicate,0.0,0.0,0.0
synth_easy,agent_few_shot,xgb,class_imbalance,1.0,1.0,1.0
synth_easy,agent_few_shot,xgb,format_inconsistency,1.0,0.0,0.0
synth_medium,rule_based,xgb,leakage,1.0,0.0,0.0
synth_medium,rule_based,xgb,missing,0.625,1.0,0.7692307692307693
synth_medium,rule_based,xgb,label_noise,1.0,0.0,0.0
synth_medium,rule_based,xgb,near_duplicate,1.0,0.0,0.0
synth_medium,rule_based,xgb,class_imbalance,1.0,1.0,1.0
synth_medium,rule_based,xgb,format_inconsistency,1.0,1.0,1.0
synth_medium,agent_full,xgb,leakage,1.0,1.0,1.0
synth_medium,agent_full,xgb,missing,1.0,1.0,1.0
synth_medium,agent_full,xgb,label_noise,1.0,1.0,1.0
synth_medium,agent_full,xgb,near_duplicate,1.0,0.0,0.0
synth_medium,agent_full,xgb,class_imbalance,1.0,1.0,1.0
synth_medium,agent_full,xgb,format_inconsistency,1.0,0.3333333333333333,0.5
synth_medium,agent_no_reviewer,xgb,leakage,1.0,1.0,1.0
synth_medium,agent_no_reviewer,xgb,missing,1.0,1.0,1.0
synth_medium,agent_no_reviewer,xgb,label_noise,1.0,1.0,1.0
synth_medium,agent_no_reviewer,xgb,near_duplicate,1.0,0.0,0.0
synth_medium,agent_no_reviewer,xgb,class_imbalance,1.0,1.0,1.0
synth_medium,agent_no_reviewer,xgb,format_inconsistency,1.0,0.3333333333333333,0.5
synth_medium,agent_no_planner,xgb,leakage,1.0,1.0,1.0
synth_medium,agent_no_planner,xgb,missing,1.0,1.0,1.0
synth_medium,agent_no_planner,xgb,label_noise,1.0,1.0,1.0
synth_medium,agent_no_planner,xgb,near_duplicate,1.0,0.0,0.0
synth_medium,agent_no_planner,xgb,class_imbalance,1.0,1.0,1.0
synth_medium,agent_no_planner,xgb,format_inconsistency,1.0,0.3333333333333333,0.5
synth_medium,agent_zero_shot,xgb,leakage,1.0,1.0,1.0
synth_medium,agent_zero_shot,xgb,missing,1.0,1.0,1.0
synth_medium,agent_zero_shot,xgb,label_noise,1.0,1.0,1.0
synth_medium,agent_zero_shot,xgb,near_duplicate,1.0,0.0,0.0
synth_medium,agent_zero_shot,xgb,class_imbalance,1.0,1.0,1.0
synth_medium,agent_zero_shot,xgb,format_inconsistency,1.0,0.3333333333333333,0.5
synth_medium,agent_few_shot,xgb,leakage,1.0,1.0,1.0
synth_medium,agent_few_shot,xgb,missing,1.0,1.0,1.0
synth_medium,agent_few_shot,xgb,label_noise,1.0,1.0,1.0
synth_medium,agent_few_shot,xgb,near_duplicate,0.0,0.0,0.0
